bmr,index,model_average,Logistic,LogLogistic,Probit,LogProbit,QuantalLinear,Multistage2,DichotomousHill
"BMR = 10%: Added, BMR: 0.1",173,121.4010991,162.0096922,220.9730588,90.32542913,256.0969493,36.29542114,86.16168514,224.5008212
"BMR = 10%: Added, BMR: 0.1",174,89.14787521,162.0096922,231.3469618,110.5189727,263.801517,35.42320412,104.7152458,200.7087886
"BMR = 10%: Added, BMR: 0.1",175,105.6344226,162.0096922,260.2461515,68.04858145,258.0621488,35.28059271,77.60341285,241.2121702
"BMR = 10%: Added, BMR: 0.1",176,156.0117739,129.6553869,258.503788,137.2834642,213.4440859,31.37876563,58.55743557,241.2121702
"BMR = 10%: Added, BMR: 0.1",177,120.3472979,116.5696209,282.7586382,115.514925,218.9115129,43.30317011,80.60669856,241.5830293
"BMR = 10%: Added, BMR: 0.1",178,90.31086863,90.66319077,253.1829149,115.514925,232.3432534,25.86351295,82.36361113,241.5830293
"BMR = 10%: Added, BMR: 0.1",179,148.1013855,130.4337569,277.0987326,111.0264968,242.9102069,45.10942482,99.06808658,241.5830293
"BMR = 10%: Added, BMR: 0.1",180,126.2450525,127.0477406,250.962781,79.7027962,240.3858845,35.89097551,100.2846766,241.5830293
"BMR = 10%: Added, BMR: 0.1",181,99.46756607,126.1576731,264.536494,71.19457634,259.3946551,22.22645847,102.8503211,215.9276991
"BMR = 10%: Added, BMR: 0.1",182,118.2405478,89.12408264,259.4815083,110.5466655,223.2699849,24.45313224,108.3983827,205.4436884
"BMR = 10%: Added, BMR: 0.1",183,103.3652905,143.9608322,230.546202,130.710167,168.9525376,23.49704982,85.21309286,236.2765018
"BMR = 10%: Added, BMR: 0.1",184,116.2402218,115.4284905,236.0981574,94.44509842,236.9107601,43.36199688,96.50620792,266.4430134
"BMR = 10%: Added, BMR: 0.1",185,137.8010776,75.10321974,220.7206193,79.30902982,266.4850085,21.8156245,103.8941943,224.9281655
"BMR = 10%: Added, BMR: 0.1",186,147.9601169,110.5587658,196.9386307,81.03640837,215.0721741,43.14972219,103.5706844,214.884029
"BMR = 10%: Added, BMR: 0.1",187,109.8746295,87.49565239,190.4813576,73.07082953,180.6378399,38.33906182,75.19072042,269.0673564
"BMR = 10%: Added, BMR: 0.1",188,108.5673674,131.4497149,206.6886236,129.2624441,203.2413877,31.01585695,81.17348148,236.295724
"BMR = 10%: Added, BMR: 0.1",189,117.8847022,123.7155231,204.9261242,138.025745,183.7675799,30.77534224,98.35266983,236.295724
"BMR = 10%: Added, BMR: 0.1",190,111.455355,108.0271267,187.3648387,137.0607757,258.5483234,32.9518185,94.70069874,244.6895983
"BMR = 10%: Added, BMR: 0.1",191,102.2923141,136.5840602,251.7240421,127.7677709,269.0285585,35.73028789,62.18511245,265.7393926
"BMR = 10%: Added, BMR: 0.1",192,152.7610175,146.3898672,206.1551333,127.6691442,286.8239941,33.97237398,110.4732197,273.3167644
"BMR = 10%: Added, BMR: 0.1",193,106.6800899,114.6431345,217.0717152,127.531524,269.0678355,29.93192827,99.62228843,226.1744164
